Species,zone_n,zone_s,zone_g
Acacia_longispinea,NA,else,else
Acacia_longissima,else,else,else
Acacia_loroloba,NA,else,else
Acacia_lunata,NA,else,else
Acacia_lysiphloia,NA,else,else
Acacia_mabellae,NA,else,else
Acacia_macdonnellensis,NA,else,else
Acacia_maconochieana,NA,else,else
Acacia_macradenia,NA,else,else
Acacia_maidenii,else,else,else
Acacia_mangium,else,else,tropical
Acacia_maranoensis,NA,else,else
Acacia_marramamba,NA,else,else
Acacia_masliniana,NA,else,else
Acacia_matthewii,NA,else,else
Acacia_mearnsii,else,else,else
Acacia_meiosperma,NA,else,else
Acacia_melanoxylon,else,else,else
Acacia_melvillei,NA,else,else
Acacia_merinthophora,NA,else,else
Acacia_microbotrya,NA,else,else
Acacia_microcybe,NA,else,else
Acacia_microsperma,NA,else,else
Acacia_midgleyi,NA,else,else
Acacia_mimula,NA,else,else
Acacia_minniritchi,NA,else,else
Acacia_minyura,NA,else,else
Acacia_mollifolia,NA,else,else
Acacia_montana,NA,else,else
Acacia_monticola,NA,else,else
Acacia_mountfordiae,NA,else,else
Acacia_mucronata,else,else,else
Acacia_muelleriana,NA,else,else
Acacia_mulganeura,NA,else,else
Acacia_multisiliqua,NA,else,else
Acacia_multispicata,NA,else,else
Acacia_murrayana,else,else,else
Acacia_myrtifolia,else,else,else
Acacia_nanodealbata,NA,else,else
Acacia_neriifolia,else,else,else
Acacia_neurocarpa,NA,else,else
Acacia_neurophylla,NA,else,else
Acacia_nyssophylla,NA,else,else
Acacia_obliquinervia,NA,else,else
Acacia_obtusifolia,NA,else,else
Acacia_oldfieldii,NA,else,else
Acacia_olgana,NA,else,else
Acacia_oligoneura,NA,else,else
Acacia_omalophylla,NA,else,else
Acacia_oncinocarpa,NA,else,else
Acacia_oraria,NA,else,else
Acacia_orites,NA,else,else
Acacia_orthocarpa,NA,else,else
Acacia_oshanesii,NA,else,else
Acacia_oswaldii,NA,else,else
Acacia_oxycedrus,NA,else,else
Acacia_pachyacra,NA,else,else
Acacia_pachycarpa,NA,else,else
Acacia_pachyceras,else,NA,else
Acacia_palustris,NA,else,else
Acacia_papyrocarpa,else,else,else
Acacia_paradoxa,else,else,else
Acacia_paraneura,NA,else,else
Acacia_parramattensis,NA,else,else
Acacia_parvipinnula,NA,else,else
Acacia_pellita,NA,else,else
Acacia_pendula,else,else,else
Acacia_penninervis,else,else,else
Acacia_pentadenia,NA,else,else
Acacia_petraea,NA,else,else
Acacia_peuce,NA,else,else
Acacia_platycarpa,NA,else,else
Acacia_plectocarpa,NA,else,else
Acacia_podalyriifolia,else,else,else
Acacia_polifolia,NA,else,else
Acacia_polybotrya,NA,else,else
Acacia_polystachya,NA,else,else
Acacia_praelongata,NA,else,else
Acacia_prainii,NA,else,else
Acacia_pravissima,else,else,else
Acacia_prominens,else,else,else
Acacia_pruinocarpa,NA,else,else
Acacia_pteraneura,NA,else,else
Acacia_pubescens,else,else,else
Acacia_pubifolia,NA,else,else
Acacia_pubirhachis,NA,else,else
Acacia_pulchella,NA,else,else
Acacia_pustula,NA,else,else
Acacia_pycnantha,else,else,else
Acacia_pyrifolia,NA,else,else
Acacia_quadrimarginea,NA,else,else
Acacia_racospermoides,NA,else,else
Acacia_ramulosa,else,else,else
Acacia_redolens,else,else,else
Acacia_resinimarginea,NA,else,else
Acacia_resinistipulea,NA,else,else
Acacia_retinervis,NA,else,else
Acacia_retinodes,else,else,tropical
Acacia_rhodophloia,NA,else,else
Acacia_rhodoxylon,NA,else,else
Acacia_riceana,else,else,else
Acacia_rigens,else,else,else
Acacia_rivalis,NA,else,else
Acacia_rostellifera,else,else,else
Acacia_rostriformis,NA,else,else
Acacia_rothii,NA,else,else
Acacia_roycei,NA,else,else
Acacia_rubida,else,else,else
Acacia_saliciformis,NA,else,else
Acacia_salicina,else,else,else
Acacia_saligna,else,else,else
Acacia_saxatilis,NA,else,else
Acacia_schinoides,NA,else,else
Acacia_scirpifolia,NA,else,else
Acacia_sclerosperma,NA,else,else
Acacia_scopulorum,NA,else,else
Acacia_semilunata,NA,else,else
Acacia_semirigida,NA,else,else
Acacia_sericata,NA,else,else
Acacia_sericoflora,NA,else,else
Acacia_shirleyi,NA,else,else
Acacia_sibilans,NA,else,else
Acacia_sibina,NA,else,else
Acacia_sibirica,NA,else,else
Acacia_signata,NA,else,else
Acacia_silvestris,NA,else,else
Acacia_simplex,NA,else,else
Acacia_simsii,NA,else,else
Acacia_spania,NA,else,else
Acacia_sparsiflora,NA,else,else
Acacia_spectabilis,else,else,else
Acacia_spirorbis,NA,else,else
Acacia_steedmanii,else,else,else
Acacia_stenophylla,else,else,else
Acacia_stereophylla,NA,else,else
Acacia_stipuligera,NA,else,else
Acacia_striatifolia,NA,else,else
Acacia_stricta,else,else,else
Acacia_strongylophylla,NA,else,else
Acacia_subporosa,else,else,else
Acacia_subtessarogona,NA,else,else
Acacia_subtilinervis,NA,else,else
Acacia_subulata,else,else,else
Acacia_symonii,NA,else,else
Acacia_synchronicia,NA,else,else
Acacia_tenuinervis,NA,else,else
Acacia_tenuispica,NA,else,else
Acacia_tenuissima,NA,else,else
Acacia_tephrina,NA,else,else
Acacia_terminalis,else,else,else
Acacia_tessellata,NA,else,else
Acacia_tetragonophylla,else,else,else
Acacia_thomsonii,NA,else,else
Acacia_torulosa,NA,else,else
Acacia_trachycarpa,NA,else,else
Acacia_trachyphloia,NA,else,else
Acacia_trinervata,NA,else,else
